TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionYear,TransactionMonth,TransactionDay,TransactionDayOfWeek,TransactionHour,DaysSincePrevTransaction,TransactionID,AccountID,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerOccupation,Cluster,ClusterLabel,ClusterDescription
154.71,34,157,1,1523.72,2023,7,3,0,16,-490,TX000085,AC00140,Debit,San Diego,D000494,167.104.180.235,M030,Online,Doctor,3,Cluster 3,Online Banking Users
24.56,64,69,1,9869.93,2023,10,20,4,17,-381,TX000087,AC00303,Debit,Mesa,D000428,16.131.3.140,M033,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
568.07,48,115,1,10556.81,2023,8,28,0,17,-434,TX000088,AC00373,Debit,Washington,D000018,8.243.4.138,M054,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
9.61,58,179,1,12883.91,2023,6,22,3,18,-501,TX000089,AC00438,Credit,San Diego,D000453,132.127.5.187,M043,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
392.96,24,100,1,791.65,2023,11,20,0,16,-350,TX000090,AC00437,Debit,Kansas City,D000141,186.54.68.246,M022,Online,Student,3,Cluster 3,Online Banking Users
716.93,60,34,1,4064.02,2023,9,14,3,16,-417,TX000091,AC00106,Credit,Milwaukee,D000322,101.223.82.253,M052,Online,Retired,2,Cluster 2,Branch-Based Credit Users
230.66,21,135,1,618.05,2023,3,27,0,18,-588,TX000093,AC00149,Debit,Houston,D000526,60.43.160.195,M049,Branch,Student,0,Cluster 0,Branch-Based Debit Users
442.12,19,260,1,1375.8,2023,12,21,3,16,-319,TX000094,AC00373,Debit,Los Angeles,D000645,168.36.49.167,M047,Online,Student,3,Cluster 3,Online Banking Users
644.17,29,72,1,1143.52,2023,3,2,3,16,-613,TX000095,AC00425,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
508.68,51,127,1,7708.41,2023,6,26,0,16,-497,TX000096,AC00010,Credit,Mesa,D000622,193.108.17.115,M048,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
858.63,27,185,1,1872.96,2023,4,18,1,17,-566,TX000097,AC00348,Credit,San Francisco,D000019,175.230.206.232,M002,Branch,Student,2,Cluster 2,Branch-Based Credit Users
25.36,57,78,1,201.04,2023,7,17,0,17,-476,TX000098,AC00011,Debit,Louisville,D000192,62.152.134.92,M007,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
147.62,71,133,1,2115.8,2023,9,1,4,17,-430,TX000099,AC00453,Debit,Charlotte,D000093,149.84.108.18,M028,Branch,Retired,0,Cluster 0,Branch-Based Debit Users
115.02,37,175,1,7643.66,2023,9,11,0,16,-420,TX000100,AC00178,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
383.37,30,24,1,8901.93,2023,1,24,1,17,-650,TX000101,AC00265,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
98.54,20,167,1,9383.43,2023,8,11,4,16,-451,TX000102,AC00018,Credit,El Paso,D000528,34.125.226.63,M095,Online,Student,2,Cluster 2,Branch-Based Credit Users
83.24,55,164,1,1181.31,2023,10,16,0,18,-385,TX000103,AC00075,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,Doctor,2,Cluster 2,Branch-Based Credit Users
196.16,27,146,1,9418.86,2023,2,24,4,16,-619,TX000104,AC00464,Debit,Virginia Beach,D000164,204.34.243.93,M099,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
129.94,32,235,1,7954.92,2023,1,2,0,16,-672,TX000105,AC00170,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
306.9,46,51,1,9418.08,2023,11,30,3,16,-340,TX000106,AC00235,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,Engineer,3,Cluster 3,Online Banking Users
114.98,59,80,1,6144.68,2023,11,1,2,16,-369,TX000107,AC00013,Debit,Seattle,D000182,115.218.48.83,M032,Online,Retired,3,Cluster 3,Online Banking Users
756.59,27,17,1,420.65,2023,3,6,0,16,-609,TX000108,AC00397,Debit,Sacramento,D000028,174.61.77.54,M012,Branch,Student,0,Cluster 0,Branch-Based Debit Users
503.76,22,35,1,447.82,2023,11,27,0,18,-343,TX000109,AC00423,Debit,Los Angeles,D000518,216.151.64.40,M083,Online,Student,3,Cluster 3,Online Banking Users
143.03,63,147,1,7981.45,2023,7,31,0,16,-462,TX000110,AC00154,Debit,San Antonio,D000469,197.162.55.147,M055,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
245.54,25,180,1,985.06,2023,3,21,1,16,-594,TX000112,AC00318,Debit,New York,D000536,44.197.126.59,M089,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
254.37,51,174,1,8849.26,2023,4,20,3,18,-564,TX000113,AC00396,Credit,Dallas,D000477,143.212.47.226,M012,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
213.76,78,282,1,3528.72,2023,3,1,2,17,-614,TX000114,AC00121,Credit,Dallas,D000574,51.250.122.123,M009,ATM,Retired,2,Cluster 2,Branch-Based Credit Users
327.86,40,104,1,480.16,2023,2,10,4,16,-633,TX000115,AC00336,Debit,Fresno,D000655,188.124.181.12,M051,Online,Engineer,3,Cluster 3,Online Banking Users
2.5,47,107,1,12145.27,2023,7,21,4,16,-472,TX000116,AC00468,Debit,San Diego,D000673,44.73.3.217,M042,Online,Doctor,3,Cluster 3,Online Banking Users
300.08,68,47,1,13546.75,2023,10,9,0,17,-392,TX000117,AC00282,Credit,Austin,D000266,85.240.254.83,M040,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
407.65,26,62,1,8346.64,2023,7,7,4,16,-486,TX000119,AC00085,Debit,Boston,D000544,98.255.160.110,M041,Online,Engineer,3,Cluster 3,Online Banking Users
115.83,39,167,1,6481.04,2023,5,22,0,17,-532,TX000120,AC00092,Debit,Fresno,D000663,124.6.134.78,M086,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
53.57,69,121,1,1651.33,2023,8,16,2,16,-446,TX000121,AC00295,Debit,Houston,D000489,45.64.74.86,M025,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
63.34,46,165,1,11174.94,2023,11,17,4,16,-353,TX000122,AC00358,Credit,Detroit,D000434,69.82.61.135,M028,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
317.87,27,91,1,145.5,2023,5,22,0,17,-532,TX000123,AC00311,Debit,Detroit,D000314,79.227.202.117,M076,Online,Student,3,Cluster 3,Online Banking Users
331.65,41,61,1,4172.57,2023,8,25,4,17,-437,TX000124,AC00066,Debit,Portland,D000037,26.240.219.199,M006,Online,Engineer,3,Cluster 3,Online Banking Users
5.04,56,41,1,5558.36,2023,11,27,0,16,-343,TX000125,AC00340,Debit,Washington,D000021,63.67.150.226,M001,ATM,Retired,1,Cluster 1,ATM-Focused Debit Users
214.54,70,247,1,11151.53,2023,8,4,4,17,-458,TX000126,AC00284,Credit,Detroit,D000112,195.226.203.234,M026,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
598.81,57,158,1,1415.52,2023,9,4,0,16,-427,TX000127,AC00208,Debit,Philadelphia,D000042,92.214.76.157,M081,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
841.28,26,80,1,1103.64,2023,8,9,2,17,-453,TX000128,AC00176,Debit,Tucson,D000276,101.223.82.253,M083,Online,Student,3,Cluster 3,Online Banking Users
38.15,26,108,1,303.68,2023,9,7,3,16,-424,TX000129,AC00053,Debit,Mesa,D000687,77.21.150.75,M005,Online,Student,3,Cluster 3,Online Banking Users
124.72,33,105,1,6309.8,2023,7,3,0,17,-490,TX000131,AC00382,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,Engineer,0,Cluster 0,Branch-Based Debit Users
302.45,78,40,1,5133.61,2023,9,25,0,17,-406,TX000132,AC00384,Credit,San Antonio,D000052,203.99.96.114,M059,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
208.04,47,273,1,9344.98,2023,11,20,0,17,-350,TX000133,AC00203,Debit,Louisville,D000339,65.27.212.129,M055,Online,Engineer,3,Cluster 3,Online Banking Users
5.77,23,254,1,1117.97,2023,11,17,4,17,-353,TX000134,AC00498,Credit,Los Angeles,D000236,85.240.254.83,M098,Branch,Student,2,Cluster 2,Branch-Based Credit Users
381.33,56,75,1,11835.35,2023,8,21,0,16,-441,TX000135,AC00349,Debit,Albuquerque,D000635,62.251.170.72,M034,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
16.16,50,124,1,14401.17,2023,10,16,0,16,-385,TX000136,AC00177,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
486.08,18,68,1,1748.69,2023,6,20,1,17,-503,TX000137,AC00284,Debit,Oklahoma City,D000170,138.87.180.254,M060,Online,Student,3,Cluster 3,Online Banking Users
336.39,21,18,1,1000.46,2023,1,16,0,16,-658,TX000138,AC00272,Debit,San Antonio,D000426,203.99.96.114,M003,Branch,Student,0,Cluster 0,Branch-Based Debit Users
234.57,23,120,1,263.98,2023,9,1,4,16,-430,TX000140,AC00385,Debit,Chicago,D000553,45.182.28.148,M045,Online,Student,3,Cluster 3,Online Banking Users
6.0,30,246,1,5442.76,2023,10,23,0,18,-378,TX000141,AC00403,Debit,Chicago,D000556,18.72.115.111,M090,Online,Doctor,3,Cluster 3,Online Banking Users
227.14,18,294,1,341.94,2023,7,3,0,17,-490,TX000143,AC00163,Debit,Charlotte,D000439,197.162.55.147,M057,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
233.74,66,17,1,1066.59,2023,10,24,1,16,-377,TX000144,AC00108,Credit,Oklahoma City,D000600,96.115.67.230,M030,Online,Retired,2,Cluster 2,Branch-Based Credit Users
113.02,69,166,1,6077.96,2023,9,25,0,16,-406,TX000145,AC00397,Credit,Jacksonville,D000369,33.212.169.157,M019,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
45.85,20,92,1,1659.15,2023,2,16,3,17,-627,TX000146,AC00434,Debit,Los Angeles,D000241,163.129.70.210,M085,ATM,Student,1,Cluster 1,ATM-Focused Debit Users
415.5,66,141,1,10113.66,2023,7,28,4,16,-465,TX000149,AC00333,Debit,Memphis,D000330,140.212.253.222,M077,ATM,Doctor,1,Cluster 1,ATM-Focused Debit Users
265.76,54,92,1,4446.17,2023,2,6,0,17,-637,TX000150,AC00279,Debit,Philadelphia,D000158,3.157.63.220,M049,Online,Retired,3,Cluster 3,Online Banking Users
69.4,80,113,1,6452.77,2023,7,24,0,18,-469,TX000151,AC00072,Debit,Virginia Beach,D000413,216.151.64.40,M073,Online,Retired,3,Cluster 3,Online Banking Users
332.93,35,293,1,2788.2,2023,11,20,0,16,-350,TX000152,AC00242,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,Engineer,2,Cluster 2,Branch-Based Credit Users
267.9,20,160,1,596.16,2023,10,9,0,16,-392,TX000153,AC00303,Debit,San Antonio,D000605,216.32.4.105,M078,Online,Student,3,Cluster 3,Online Banking Users
496.03,61,265,1,12904.66,2023,11,3,4,16,-367,TX000154,AC00442,Debit,San Francisco,D000070,210.160.90.52,M009,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
376.26,37,245,1,9062.4,2023,2,15,2,16,-628,TX000155,AC00087,Debit,Tucson,D000481,82.88.241.226,M081,ATM,Engineer,1,Cluster 1,ATM-Focused Debit Users
83.02,36,171,1,9009.56,2023,9,4,0,17,-427,TX000156,AC00174,Credit,Seattle,D000226,34.92.221.183,M058,Online,Engineer,2,Cluster 2,Branch-Based Credit Users
93.26,20,72,1,1152.2,2023,7,27,3,16,-466,TX000157,AC00421,Credit,New York,D000436,182.225.2.156,M092,Online,Student,2,Cluster 2,Branch-Based Credit Users
803.37,68,129,1,12168.37,2023,4,17,0,16,-567,TX000158,AC00111,Credit,Memphis,D000108,191.91.45.159,M030,Branch,Doctor,2,Cluster 2,Branch-Based Credit Users
35.76,23,122,1,611.86,2023,9,19,1,17,-412,TX000159,AC00275,Debit,Charlotte,D000678,111.78.64.133,M057,Branch,Student,0,Cluster 0,Branch-Based Debit Users
28.53,62,99,1,8670.53,2023,5,31,2,16,-523,TX000160,AC00492,Debit,Washington,D000310,215.97.143.157,M035,Online,Doctor,3,Cluster 3,Online Banking Users
139.53,53,177,1,10098.86,2023,10,9,0,17,-392,TX000161,AC00380,Credit,Louisville,D000491,167.104.180.235,M002,Online,Doctor,2,Cluster 2,Branch-Based Credit Users
307.57,33,285,1,5307.74,2023,1,9,0,16,-665,TX000162,AC00227,Debit,Detroit,D000076,128.16.32.183,M049,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
60.65,56,53,1,1047.28,2023,5,26,4,18,-528,TX000163,AC00257,Credit,Tucson,D000456,10.144.131.89,M085,Branch,Retired,2,Cluster 2,Branch-Based Credit Users
74.86,70,125,1,6921.48,2023,8,14,0,17,-448,TX000164,AC00062,Debit,Nashville,D000115,161.168.126.136,M028,Branch,Doctor,0,Cluster 0,Branch-Based Debit Users
117.97,51,137,1,1475.46,2023,11,24,4,18,-346,TX000165,AC00383,Debit,Kansas City,D000281,198.39.35.23,M100,Branch,Retired,0,Cluster 0,Branch-Based Debit Users
